runner_name,runner_place,runner_time,runner_score,runner_school
Ashton Chase,167,23:39.8,165,IUPUI [FR]
Ashley Shipps,168,23:43.2,166,Western Michigan [FR]
Jocelyn Quiles,169,23:46.3,167,Indiana State [SO]
Xena Maali,170,23:47.8,168,Youngstown St. [JR]
Ciara Kaderly,171,23:50.6,169,Milwaukee [JR]
Hannah Korte,172,23:51.5,170,Cleveland St. [FR]
Megan King,173,23:51.8,171,Wright State [FR]
Paige Boatright,174,23:52.9,172,IUPUI [JR]
Kathy Potter,175,23:53.6,173,Purdue Fort Wayne [FR]
Erika Kisting,176,23:57.5,174,Milwaukee [SO]
Sophia Hirzel,177,23:58.2,175,Purdue Fort Wayne [JR]
Jean Carson,178,24:06.7,176,IUPUI [JR]
Olivia Hammons,179,24:08.9,177,Cleveland St. [SR]
Sydnie Firment,180,24:09.6,178,Bowling Green [FR]
Taylor Justison,181,24:10.7,179,Valparaiso [SR]
Kaci Bornhorst,182,24:14.0,180,Dayton [SR]
Hannah Ray,183,24:15.5,181,Marquette [FR]
Bones Parker,184,24:29.0,182,Evansville [FR]
Sarah Caesar,185,24:31.7,183,Valparaiso [JR]
Allie Zofkie,186,24:32.4,184,Bowling Green [SO]
Alexia Oyer,187,24:34.7,185,Wis.-Green Bay [SO]
Alicia Neumeier,188,24:40.2,186,Wright State [FR]
Haylee Harmeyer,189,24:44.5,187,Evansville [SO]
Moriah McCormick,190,24:47.4,188,Indiana State [SO]
Makaila Groves,191,24:47.7,189,Purdue Fort Wayne [FR]
Maranda Donahue,192,24:49.0,190,Valparaiso [SO]
Rebecca Measel,193,24:49.1,,Detroit Mercy [JR]
Kara Krol,194,24:56.9,191,IUPUI [FR]
Heather McArdle,195,24:58.8,192,Cleveland St. [SO]
Grecia Guzman,196,25:03.0,193,Wis.-Green Bay [JR]
Meta Ehlen,197,25:03.4,194,Wis.-Green Bay [SR]
Izzy Dawson,198,25:06.9,195,Evansville [JR]
Kenzie Smith,199,25:12.3,196,Purdue Fort Wayne [FR]
Jenna Fehrenbacher,200,25:13.6,197,Evansville [FR]
Mariah McDonough,201,25:17.5,198,Wis.-Green Bay [JR]
Kaitlin Murray,202,25:21.9,,Detroit Mercy [FR]
Tiffany Ward,203,25:22.9,199,Wright State [SR]
Zoe Lexovsky,204,25:26.3,200,Cleveland St. [FR]
Megan Drzadinski,205,25:28.7,201,Wis.-Green Bay [FR]
Tiffany Hill,206,25:33.6,202,Ohio [SR]
Brooklyn Hey,207,25:42.3,203,Indiana State [FR]
Lauren Meyer,208,25:57.6,204,Evansville [JR]
Marissa Wackett,209,26:22.7,205,Wis.-Green Bay [FR]
Hannah Suarez,210,26:28.1,206,Wis.-Green Bay [SO]
Elana Kayser,211,26:43.1,207,Purdue Fort Wayne [FR]
Haley Rozeski,212,26:48.1,208,Cleveland St. [FR]
Danielle Durak,213,26:51.5,209,Valparaiso [FR]
Kathleen Neal,214,26:56.1,210,Valparaiso [JR]
Lauren Morales,215,29:08.1,211,Purdue Fort Wayne [FR]
