"runner_name","runner_time","runner_place","runner_school","runner_points"
"Ryan Schwab","35:43.5","187","Detroit Mercy [SO]","185"
"Jonathan Harley","35:51.3","188","Cincinnati [SO]","186"
"Tanner Conard","35:59.7","189","Wis.-Green Bay [FR]","187"
"Michael Board","36:21.4","190","Wright State [SO]","188"
"Carson Kline","36:23.8","191","Evansville [SO]","189"
"Austin Rockstroh","36:24.0","192","Purdue Fort Wayne [SR]","190"
"Landon Melling","36:28.8","193","Oakland [SO]","191"
"Jordan Finlay","36:34.4","194","Wis.-Green Bay [SR]","192"
"Husam Saleh","36:43.6","195","Purdue Fort Wayne [FR]","193"
"Riley Volkman","36:52.8","196","Wis.-Green Bay [FR]","194"
"Nathan Erck","36:57.4","197","Wis.-Green Bay [JR]","195"
"Kevin Gonzalez","37:21.9","198","Wis.-Green Bay [FR]","196"
"Alton Hoops","37:30.4","199","Evansville [SO]","197"
"Timmy Miller","38:31.1","200","Evansville [JR]","198"
"Salvador Sierra","39:19.8","201","Wis.-Green Bay [FR]","199"
