runner_place,runner_name,runner_time,runner_points,runner_school
189,Ryan Murphy,32:50.2,158,Arkansas [SO]
190,Nick Randazzo,32:52.2,,UC Santa Barbara [JR]
191,Nathan Rodriguez,32:53.2,159,Villanova [SR]
192,Michael Coccia,32:53.7,160,Ole Miss [JR]
193,Kevin James,32:54.6,161,Syracuse [SR]
194,Preston Cates,32:54.7,162,Arkansas [SR]
195,Eric Casarez,32:55.7,,Texas A&M [SO]
196,Hugo Milner,32:57.4,163,Harvard [JR]
197,Reed Sahadevan,32:59.1,164,Tulsa [JR]
198,Adriaan Wildschutt,33:00.5,,Coastal Carolina [SO]
199,Kyle Griffith,33:00.9,165,Purdue [SO]
200,Ari Klau,33:01.5,166,Virginia [SR]
201,Dallin Farnsworth,33:02.5,167,Utah State [SR]
202,Jonathan Shields,33:03.0,168,Boise State [JR]
203,Jackson Sharp,33:03.0,169,Wisconsin [FR]
204,Silas Griffith,33:03.8,170,Florida State [JR]
205,Spencer Brown,33:08.7,171,Georgetown [SR]
206,Patrick Spychalski,33:12.5,172,Villanova [FR]
207,Caleb Pottorff,33:14.3,173,Florida State [SO]
208,Tim Bason,33:20.0,174,NC State [JR]
209,Bashir Mosavel-Lo,33:21.0,175,Virginia Tech [SO]
210,Trent Mandato,33:25.4,176,Furman [JR]
211,Shea Weilbaker,33:27.2,177,Georgetown [FR]
212,Carter Persyn,33:28.6,178,Arkansas [SR]
213,Joe Dragon,33:29.6,179,Syracuse [JR]
214,James Brinyark,33:29.7,180,Alabama [SR]
215,Rusty Kujdych,33:31.7,181,Georgetown [SO]
216,Jacob Holmes,33:33.7,182,Florida State [FR]
217,Ezekiel Kibichii,33:34.6,,Eastern Kentucky [FR]
218,Nathan Dunn,33:34.6,183,Boise State [FR]
219,Reese Jordan,33:34.7,184,Indiana [SO]
220,Michael Alber,33:35.8,185,Harvard [JR]
221,Matthew Bouthillette,33:38.6,186,Georgetown [SR]
222,David Melville,33:40.2,187,Harvard [SO]
223,Elliott Miller,33:40.6,188,Alabama [SR]
224,Benjamin Drezek,33:43.6,,UMass Lowell [JR]
225,Cruz Gomez,33:43.9,189,Texas [FR]
226,Alec Fleming,33:44.1,190,Purdue [FR]
227,Daniel Golden,33:45.4,191,Texas [SR]
228,Matthew Novak,33:47.8,192,Virginia [SR]
229,Zack Snider,33:49.1,193,Wisconsin [SR]
230,Nathan Lawler,33:55.7,194,Syracuse [FR]
231,D.J. Principe,33:57.7,195,Stanford [SO]
232,Hillary Kimaiyo,34:04.0,196,Mid. Tenn. State [FR]
233,Sam Tanner,34:11.6,197,Washington [FR]
234,Matthew Newland,34:13.0,198,Florida State [SO]
235,Cole Bullock,34:15.1,199,Ole Miss [FR]
236,Jack Joyce,34:15.8,200,Virginia Tech [SR]
237,Elliot Gindi,34:18.5,201,Alabama [SO]
238,Graham Brown,34:23.2,202,Arkansas [SR]
239,Jake Johnson,34:32.0,203,Texas [JR]
240,Adam Breaux,34:34.2,204,Tulsa [SR]
241,Ryan Kutch,34:48.2,,Fordham [SR]
242,Yared Mekonnen,34:51.2,205,NC State [FR]
243,Jayce Turner,34:57.1,206,Arkansas [FR]
244,Jacob Wiggers,35:15.2,207,Alabama [FR]
245,Lebo Mosito,35:37.0,208,Mid. Tenn. State [JR]
246,Titus Lagat,35:50.4,209,Mid. Tenn. State [FR]
247,Brian Rono,35:57.4,210,Mid. Tenn. State [SO]
248,Ares Epps,36:06.5,211,NC State [FR]
249,Nathan Mack,36:52.4,212,Mid. Tenn. State [SR]
DNF,Edwin Rutto,,,NC State [JR]
DNF,Noel Rotich,,,Alabama [FR]
DNF,Logan Rees,,,Boise State [SR]
DNF,Camren Fischer,,,Princeton [FR]
